x_e	y_e	yaw_e	vx_e	vy_e	Bx	By	x_N	y_E	yaw	y_ICR_r	y_ICR_l	x_ICR_v	vr	vl	x	y	yaw_imu	wr	wl	wr_f	wl_f	old_x	old_y	ref_r	ref_l
-1.4542734166776867	-3.336868906334784	0.3246345744974829	-0.07344825291200135	-0.03890958046605122	-0.24971373321574758	-0.20684630740230592	-1.4542190899636398	-3.3368320201893	0.5263591712850478	24.516739834935137	-27.160439107908328	5.907873256075725	0.07012177720943147	0.030495132351491122	-2.2199845027644187	-4.1998222096590325	-0.328758926293923	0.8922359347343445	0.33884650468826294	1.5229293286169765	0.8843498257235487	45.21289952774908	1.8378532772531466	27.178508758544922	-7.22202730178833
-1.4617350775411264	-3.340638642741644	0.3230613744237336	-0.07371472522738891	-0.03951789041352872	-0.24965337469319282	-0.20713617742897542	-1.4617922844899756	-3.340538852674033	0.528776104652613	24.48334592935657	-27.207313175905075	5.910488922660022	0.046667310295568434	0.016360056338460435	-2.2199845027644187	-4.1998222096590325	-0.34357227797306034	0.5026441812515259	0.11915209889411926	1.3334373276286309	0.7000449631623913	45.23503073113186	1.8481825315292475	32.59503173828125	-2.32136607170105
-1.469105266292158	-3.344345496150405	0.31940719139156715	-0.0707119423981128	-0.03702941190889753	-0.24945356834401441	-0.20712995805496617	-1.469294920441074	-3.344347640590757	0.5311299482558673	24.449869238740646	-27.254131418621565	5.912956509675785	0.028422992145805407	0.003199509924138198	-2.2199845027644187	-4.1998222096590325	-0.36673845109184855	0.26789018511772156	-0.0770706757903099	1.0712948983522141	0.4945318670690909	45.25784954037165	1.8589376521298384	36.72190475463867	1.8055064678192139
-1.476135399225118	-3.3482209885403615	0.3192788921207248	-0.06306895384044041	-0.03892393508179032	-0.24897096948925512	-0.20715678414959454	-1.4765941542546281	-3.348211724360777	0.5334145737512136	24.416384544540108	-27.30081644844577	5.915264166636614	0.016554691193666274	-0.0018273692846178385	-2.2199845027644187	-4.1998222096590325	-0.3744387467046819	0.1440199911594391	-0.0770706757903099	0.7896668938394988	0.29540191054614107	45.27923921252861	1.8699496581412791	48.45819854736328	13.541801452636719
-1.482750943474638	-3.3520062546053926	0.32424428870637856	-0.055655345482042845	-0.03864382250514352	-0.248271354236979	-0.2072821637240598	-1.4834169736760088	-3.351962887798002	0.5356193108755531	24.382989766841433	-27.347275155255744	5.917391652482361	0.008504759748139565	0.011144082688238214	-2.2199845027644187	-4.1998222096590325	-0.35989856781625296	0.055113162845373154	0.29941415786743164	0.5368265652279924	0.16015922466891394	45.28787223851316	1.8747251984645616	48.45819854736328	13.541801452636719
-1.4889892216866703	-3.355989029364669	0.3236750955059803	-0.0414981696834783	-0.03798907981606335	-0.24688186754169283	-0.206991235925757	-1.4903139528933214	-3.356089814378529	0.5377768841665712	24.35006993567394	-27.39312243603712	5.91920933816221	0.021669699599489674	0.035186658627122926	-2.2199845027644187	-4.1998222096590325	-0.36996155987598756	0.4656829237937927	0.7819907665252686	0.3642412432582978	0.15811974732237433	45.30394448356872	1.8852002624160724	48.45819854736328	13.541801452636719
-1.495047224024447	-3.3602461527946486	0.3303637923989453	-0.03276214296735869	-0.04233036080469083	-0.24503381038990854	-0.20695318260736123	-1.4968117421156426	-3.3602593560885654	0.5398708029170238	24.31780615916235	-27.438192407894437	5.9206671077369295	0.04898345443420259	0.08484837742202582	-2.2199845027644187	-4.1998222096590325	-0.3476637611223692	1.02909255027771	1.8053535223007202	0.34343934564368145	0.3495906635678312	45.31056820019748	1.8903404032719506	47.04008483886719	12.123687744140625
-1.5035909547475192	-3.3655017212842364	0.33090530338744406	-0.08054004401439595	-0.05371305545601165	-0.24470894041936125	-0.2071357396430004	-1.5039015939459548	-3.3654382808293968	0.541930522196358	24.284940704957233	-27.48453651080895	5.920655971694577	0.10809617040283806	0.139133791482985	-2.238489842507988	-4.255085915850941	-0.3532666246350513	2.25980281829834	2.698214054107666	0.5524499900241708	0.7721086166951493	45.31695480202317	1.8951681941416538	46.26629638671875	11.349898338317871
-1.5124488704869214	-3.3710408655563713	0.3297074387333281	-0.0998642443532275	-0.05682941919993212	-0.24545646789199188	-0.20736220491042248	-1.5117330428734597	-3.370962043780123	0.5439955105696836	24.253190634984325	-27.52965862320569	5.920139193066301	0.1660786461338704	0.15452139476725513	-2.238489842507988	-4.255085915850941	-0.3648853547010693	3.15486478805542	2.5630176067352295	1.0313750885272932	1.332053012378523	45.32822560342458	1.900370550921198	48.846588134765625	7.222029209136963
-1.518472073927399	-3.3757284409750756	0.3311950007331956	-0.05569118899698498	-0.04555727571015486	-0.24515611871046822	-0.20715488185682332	-1.518760106086069	-3.3758007126394576	0.5459906687172305	24.221773052228848	-27.574359332340418	5.919368882027087	0.20098859658611498	0.1778157360361818	-2.238489842507988	-4.255085915850941	-0.364402263318502	3.4775266647338867	3.003345251083374	1.6884670441669969	1.862229741498568	45.34490468420385	1.9066829988393528	48.07279968261719	6.448240280151367
-1.524873528170223	-3.38030660930304	0.33469704751916285	-0.056407489450776296	-0.04563371788828125	-0.24465368933615964	-0.2071316512541173	-1.5253560549550043	-3.3803147199544035	0.5479381777119563	24.190506350761176	-27.618827936282727	5.918397278327956	0.22661147349738064	0.20691539024476513	-2.238489842507988	-4.255085915850941	-0.3564729379293914	3.788201093673706	3.5140879154205322	2.354337487599135	2.3280159067584916	45.366837186405746	1.9148048670982312	48.07279968261719	6.448240280151367
-1.5337317489245201	-3.385254606117336	0.33172397366673606	-0.10629020959332258	-0.0518302145221976	-0.24582156966570218	-0.2075000690041072	-1.5326085019218518	-3.3851257783288107	0.549891992378778	24.159509290741795	-27.662944963239504	5.917168597163943	0.25046507644176064	0.20198770212188583	-2.238489842507988	-4.255085915850941	-0.3758907960183435	4.143828392028809	3.1084980964660645	2.936760291420832	2.7217908946506824	45.39395393393415	1.924287582430986	47.55693817138672	5.932381629943848
-1.5406653120638871	-3.389677445072518	0.33087925399831053	-0.08426613732519125	-0.04394243538819485	-0.24680484433724337	-0.2074553129857637	-1.5397182445356477	-3.3896931195529865	0.5518094139710753	24.12827597095318	-27.707217042829935	5.91582851347666	0.2602480449873333	0.18569672075064736	-2.238489842507988	-4.255085915850941	-0.38489848957934814	4.160810470581055	2.744218587875366	3.4103532662807634	2.950402093877937	45.44812256071093	1.9428807816389584	47.55693817138672	5.932381629943848
